sample_label	d1	d2
c2sp1s1	10.5	9
c2sp1s2	10.56717	9.268445
c2sp1s3	8.27532	11.38221
c2sp1s4	8.227458	11.37764
c2sp1s5	8.179511	11.37211
c2sp1s6	8.1315	11.36561
c2sp1s7	8.083443	11.35814
c2sp1s8	8.035361	11.3497
c2sp1s9	7.98727	11.34027
c2sp1s10	7.9392	11.32987
c2sp1s11	7.89116	11.31848
c2sp1s12	7.84317	11.30611
c2sp1s13	10.57166	9.29981
c2sp1s14	7.79526	11.29275
c2sp1s15	7.74744	11.2784
c2sp1s16	7.69974	11.26305
c2sp1s17	7.65217	11.24672
c2sp1s18	7.60476	11.22939
c2sp1s19	7.55752	11.21107
c2sp1s20	7.51048	11.19176
c2sp1s21	7.46366	11.17146
c2sp1s22	7.41707	11.15017
c2sp1s23	7.37075	11.12789
c2sp1s24	10.57552	9.331439
c2sp1s25	7.3247	11.10463
c2sp1s26	7.27896	11.08039
c2sp1s27	7.23353	11.05516
c2sp1s28	7.18845	11.02896
c2sp1s29	7.14373	11.00179
c2sp1s30	7.09939	10.97365
c2sp1s31	7.05546	10.94454
c2sp1s32	7.01195	10.91448
c2sp1s33	6.96888	10.88347
c2sp1s34	6.92628	10.85151
c2sp1s35	10.57873	9.363319
c2sp1s36	6.88417	10.81862
c2sp1s37	6.84256	10.78479
c2sp1s38	6.80148	10.75003
c2sp1s39	6.76095	10.71436
c2sp1s40	6.72098	10.67778
c2sp1s41	6.6816	10.64031
c2sp1s42	6.64282	10.60194
c2sp1s43	6.60467	10.56269
c2sp1s44	6.56716	10.52257
c2sp1s45	6.53032	10.48159
c2sp1s46	10.58131	9.395437
c2sp1s47	6.49417	10.43975
c2sp1s48	6.45871	10.39709
c2sp1s49	6.42398	10.35359
c2sp1s50	6.38998	10.30928
c2sp1s51	6.35675	10.26417
c2sp1s52	6.32429	10.21826
c2sp1s53	6.29262	10.17159
c2sp1s54	6.26177	10.12415
c2sp1s55	6.23175	10.07596
c2sp1s56	6.20257	10.02704
c2sp1s57	10.58323	9.42778
c2sp1s58	6.17426	9.977395
c2sp1s59	6.14683	9.927051
c2sp1s60	6.1203	9.876019
c2sp1s61	6.09468	9.824315
c2sp1s62	6.06999	9.771955
c2sp1s63	6.04624	9.718957
c2sp1s64	6.02345	9.665337
c2sp1s65	6.00164	9.611113
c2sp1s66	5.98082	9.556302
c2sp1s67	5.96101	9.500922
c2sp1s68	10.58448	9.460335
c2sp1s69	5.94221	9.444993
c2sp1s70	5.92444	9.388533
c2sp1s71	5.90772	9.331561
c2sp1s72	5.89206	9.274096
c2sp1s73	5.87747	9.216158
c2sp1s74	5.86397	9.157767
c2sp1s75	5.85155	9.0989439
c2sp1s76	5.84025	9.0397087
c2sp1s77	5.83006	8.9800824
c2sp1s78	5.821	8.9200863
c2sp1s79	10.58508	9.493089
c2sp1s80	5.81308	8.859742
c2sp1s81	5.80631	8.79907
c2sp1s82	5.8007	8.738094
c2sp1s83	5.79626	8.676835
c2sp1s84	5.79299	8.615316
c2sp1s85	5.7909	8.553559
c2sp1s86	5.79001	8.491588
c2sp1s87	5.79032	8.429425
c2sp1s88	5.79183	8.367093
c2sp1s89	5.79456	8.304617
c2sp1s90	10.58499	9.526028
c2sp1s91	5.79851	8.242019
c2sp1s92	5.80368	8.179323
