sample_label	d1	d2
c2g1s1	8.809783	7.611147	7.611147
c2g1s2	4.110747	11.103186	4.110747
c2g1s3	4.11471	11.039587	11.039587
c2g1s4	3.154736	6.743244	3.154736
c2g1s5	5.972931	7.537982	7.537982
c2g1s6	5.330675	7.03301	5.330675
c2g1s7	5.721986	6.103138	6.103138
c2g1s8	6.040546	6.567276	6.040546
c2g1s9	8.010096	9.235093	9.235093
c2g1s10	8.663637	9.113787	8.663637
c2g1s11	3.364345	10.19331	10.19331
c2g1s12	4.23395	10.003093	4.23395
c2g1s13	6.545098	9.127085	9.127085
c2g1s14	7.35131	10.731793	7.35131
c2g1s15	6.600897	9.293019	9.293019
c2g1s16	8.227767	7.990697	8.227767
c2g1s17	3.640258	7.066937	7.066937
c2g1s18	2.616746	8.077674	2.616746
c2g1s19	4.698015	7.995143	7.995143
c2g1s20	4.663209	9.719093	4.663209
c2g1s21	6.889547	10.594419	10.594419
c2g1s22	4.474191	8.945728	4.474191
c2g1s23	7.822474	6.546626	6.546626
c2g1s24	5.325493	5.438902	5.325493
c2g1s25	4.271755	7.876889	7.876889
c2g1s26	3.77916	7.983635	3.77916
c2g1s27	6.642428	7.317616	7.317616
c2g1s28	6.10352	8.246751	6.10352
c2g1s29	8.280682	8.250152	8.250152
c2g1s30	3.83098	11.027824	3.83098
c2g1s31	6.018995	9.116624	9.116624
c2g1s32	3.901034	7.045717	3.901034
c2g1s33	8.280581	8.204739	8.204739
c2g1s34	6.219908	5.360467	6.219908
c2g1s35	5.042382	6.955637	6.955637
c2g1s36	3.817093	6.841828	3.817093
c2g1s37	3.955995	5.91963	5.91963
c2g1s38	6.628717	9.448322	6.628717
c2g1s39	2.822353	9.205873	9.205873
c2g1s40	6.903825	8.486555	6.903825
c2g1s41	3.363976	9.243669	9.243669
c2g1s42	6.818036	6.262664	6.818036
c2g1s43	4.14466	6.782835	6.782835
c2g1s44	7.572984	6.063416	7.572984
c2g1s45	3.987722	5.900285	5.900285
c2g1s46	4.270627	8.432667	4.270627
c2g1s47	5.926263	8.145282	8.145282
c2g1s48	4.500541	9.591276	4.500541
c2g1s49	5.120171	7.886808	7.886808
c2g1s50	3.026431	8.199161	3.026431
c2g1s51	3.384014	10.567839	10.567839
c2g1s52	5.077119	11.421814	5.077119
c2g1s53	2.530788	8.254285	8.254285
c2g1s54	3.71645	7.269865	3.71645
c2g1s55	3.544159	9.030493	9.030493
c2g1s56	5.082348	5.956756	5.082348
c2g1s57	7.92763	10.868154	10.868154
c2g1s58	8.124846	6.988325	8.124846
c2g1s59	4.221655	9.035337	9.035337
c2g1s60	4.466817	9.909351	4.466817
c2g1s61	4.411248	10.22585	10.22585
c2g1s62	5.89719	7.23744	5.89719
c2g1s63	5.529004	9.789156	9.789156
c2g1s64	5.767066	10.772608	5.767066
c2g1s65	8.72135	9.249069	9.249069
c2g1s66	7.539044	11.218934	7.539044
c2g1s67	8.573203	8.459427	8.459427
c2g1s68	4.655552	9.116182	4.655552
c2g1s69	3.583182	7.966725	7.966725
c2g1s70	5.451029	9.655049	5.451029
