sample_label	D1	D2
monkeyc1g1s1	8.809783	7.611147
monkeyc1g1s2	4.110747	11.103186
monkeyc1g1s3	4.11471	11.039587
monkeyc1g1s4	3.154736	6.743244
monkeyc1g1s5	5.972931	7.537982
monkeyc1g1s6	5.330675	7.03301
monkeyc1g1s7	5.721986	6.103138
monkeyc1g1s8	6.040546	6.567276
monkeyc1g1s9	8.010096	9.235093
monkeyc1g1s10	8.663637	9.113787
monkeyc1g1s11	3.364345	10.19331
monkeyc1g1s12	4.23395	10.003093
monkeyc1g1s13	6.545098	9.127085
monkeyc1g1s14	7.35131	10.731793
monkeyc1g1s15	6.600897	9.293019
monkeyc1g1s16	8.227767	7.990697
monkeyc1g1s17	3.640258	7.066937
monkeyc1g1s18	2.616746	8.077674
monkeyc1g1s19	4.698015	7.995143
monkeyc1g1s20	4.663209	9.719093
monkeyc1g1s21	6.889547	10.594419
monkeyc1g1s22	4.474191	8.945728
monkeyc1g1s23	7.822474	6.546626
monkeyc1g1s24	5.325493	5.438902
monkeyc1g1s25	4.271755	7.876889
monkeyc1g1s26	3.77916	7.983635
monkeyc1g1s27	6.642428	7.317616
monkeyc1g1s28	6.10352	8.246751
monkeyc1g1s29	8.280682	8.250152
monkeyc1g1s30	3.83098	11.027824
monkeyc1g1s31	6.018995	9.116624
monkeyc1g1s32	3.901034	7.045717
monkeyc1g1s33	8.280581	8.204739
monkeyc1g1s34	6.219908	5.360467
monkeyc1g1s35	5.042382	6.955637
monkeyc1g1s36	3.817093	6.841828
monkeyc1g1s37	3.955995	5.91963
monkeyc1g1s38	6.628717	9.448322
monkeyc1g1s39	2.822353	9.205873
monkeyc1g1s40	6.903825	8.486555
monkeyc1g1s41	3.363976	9.243669
monkeyc1g1s42	6.818036	6.262664
monkeyc1g1s43	4.14466	6.782835
monkeyc1g1s44	7.572984	6.063416
monkeyc1g1s45	3.987722	5.900285
monkeyc1g1s46	4.270627	8.432667
monkeyc1g1s47	5.926263	8.145282
monkeyc1g1s48	4.500541	9.591276
monkeyc1g1s49	5.120171	7.886808
monkeyc1g1s50	3.026431	8.199161
monkeyc1g1s51	3.384014	10.567839
monkeyc1g1s52	5.077119	11.421814
monkeyc1g1s53	2.530788	8.254285
monkeyc1g1s54	3.71645	7.269865
monkeyc1g1s55	3.544159	9.030493
monkeyc1g1s56	5.082348	5.956756
monkeyc1g1s57	7.92763	10.868154
monkeyc1g1s58	8.124846	6.988325
monkeyc1g1s59	4.221655	9.035337
monkeyc1g1s60	4.466817	9.909351
monkeyc1g1s61	4.411248	10.22585
monkeyc1g1s62	5.89719	7.23744
monkeyc1g1s63	5.529004	9.789156
monkeyc1g1s64	5.767066	10.772608
monkeyc1g1s65	8.72135	9.249069
monkeyc1g1s66	7.539044	11.218934
monkeyc1g1s67	8.573203	8.459427
monkeyc1g1s68	4.655552	9.116182
monkeyc1g1s69	3.583182	7.966725
monkeyc1g1s70	5.451029	9.655049
monkeyc1g1s71	7.162684	6.837426
monkeyc1g1s72	8.821867	8.343967
monkeyc1g1s73	8.701482	8.446791
monkeyc1g1s74	8.572971	7.615591
monkeyc1g1s75	5.683246	11.425206
monkeyc1g1s76	8.77466	7.663022
monkeyc1g1s77	5.941045	8.100747
monkeyc1g1s78	8.689203	7.930233
monkeyc1g1s79	4.816315	8.632522
monkeyc1g1s80	3.302916	8.45439
monkeyc1g1s81	6.076416	8.800519
monkeyc1g1s82	7.387504	9.878985
monkeyc1g1s83	3.942558	7.579624
monkeyc1g1s84	3.856414	10.752869
monkeyc1g1s85	3.49162	7.01771
monkeyc1g1s86	3.185159	7.260653
monkeyc1g1s87	8.395014	8.584327
monkeyc1g1s88	7.901698	8.27353
monkeyc1g1s89	5.915924	6.473233
monkeyc1g1s90	8.113762	9.805755
monkeyc1g1s91	8.906678	8.36598
monkeyc1g1s92	3.680145	7.058862
monkeyc1g1s93	2.640986	9.436634
monkeyc1g1s94	5.70142	11.716258
monkeyc1g1s95	7.047834	7.001495
monkeyc1g1s96	7.889127	8.719205
monkeyc1g1s97	8.564286	9.64051
monkeyc1g1s98	4.034939	6.434837
monkeyc1g1s99	2.936636	9.408366
monkeyc1g1s100	6.34256	8.522129
monkeyc1g1s101	5.564799	11.782053
monkeyc1g1s102	5.638808	6.462198
monkeyc1g1s103	2.621903	8.410019
monkeyc1g1s104	3.808206	7.439472
monkeyc1g1s105	7.227411	8.536152
monkeyc1g1s106	3.861763	10.06109
monkeyc1g1s107	8.959066	9.002758
monkeyc1g1s108	7.697727	6.621125
monkeyc1g1s109	5.040287	8.038429
monkeyc1g1s110	7.053254	8.030483
monkeyc1g1s111	3.692062	10.515866
monkeyc1g1s112	6.402681	10.223146
monkeyc1g1s113	7.122527	8.46473
monkeyc1g1s114	7.271412	7.036915
monkeyc1g1s115	6.868124	6.571746
monkeyc1g1s116	7.356935	10.243612
monkeyc1g1s117	3.006407	9.183741
monkeyc1g1s118	4.199764	7.107236
monkeyc1g1s119	6.17442	10.448582
monkeyc1g1s120	5.079368	6.488869
monkeyc1g1s121	7.817797	8.338799
monkeyc1g1s122	2.793956	9.520861
monkeyc1g1s123	8.009822	10.74096
monkeyc1g1s124	8.024825	8.863487
monkeyc1g1s125	4.699555	7.504381
monkeyc1g1s126	2.562495	8.079812
monkeyc1g1s127	5.632573	6.767617
monkeyc1g1s128	7.137982	6.728472
monkeyc1g1s129	8.945217	8.180662
monkeyc1g1s130	8.523859	7.131622
monkeyc1g1s131	7.548685	9.802669
monkeyc1g1s132	7.90511	10.747605
monkeyc1g1s133	7.174712	5.758117
monkeyc1g1s134	8.528386	8.53793
monkeyc1g1s135	5.160959	6.827317
monkeyc1g1s136	3.885911	8.255789
monkeyc1g1s137	3.831129	8.342843
monkeyc1g1s138	6.345714	9.618766
monkeyc1g1s139	7.678096	6.858757
monkeyc1g1s140	8.574906	8.69038
monkeyc1g1s141	7.123591	9.761013
monkeyc1g1s142	4.80549	9.978064
monkeyc1g1s143	3.763094	8.826543
monkeyc1g1s144	7.477617	9.28466
monkeyc1g1s145	7.006003	6.89464
monkeyc1g1s146	3.24259	8.421957
monkeyc1g1s147	4.618501	11.377746
monkeyc1g1s148	5.93963	7.930589
monkeyc1g1s149	3.285343	9.454054
monkeyc1g1s150	2.969354	9.505102
monkeyc1g1s151	8.847998	9.080009
monkeyc1g1s152	8.806343	9.567356
monkeyc1g1s153	2.718066	7.75542
monkeyc1g1s154	3.971161	6.233037
monkeyc1g1s155	5.506101	7.086634
monkeyc1g1s156	7.939039	7.819224
monkeyc1g1s157	8.596002	9.927725
monkeyc1g1s158	8.498158	6.867354
